Tom's here.	Tom er her.
This is useful information.	Dette er nyttig information.
Tom gave Mary $1,000 in a brown paper bag.	Tom gav Mary 1000 dollar i en brun papirpose.
We've had enough of this bad weather.	Jeg har fået nok af det her dårlige vejr.
May I see your passport?	Må jeg se dit pas?
It's not my business.	Det kommer ikke mig ved.
Mom, where's the cat?	Mor, hvor er katten?
Helen Keller was blind, deaf and dumb.	Helen Keller var blind, døv og stum.
Tom isn't playing by the rules.	Tom spiller ikke efter reglerne.
I'm afraid of wild animals.	Jeg er bange for vilde dyr.
I have a book in my hand.	Jeg har en bog i min hånd.
I wonder if this is love.	Jeg spørger mig om det her er kærlighed.
Tom didn't want to break Mary's heart.	Tom ønskede ikke at bryde Marys hjerte.
I doubt if he will come.	Jeg tvivler på om han kommer.
Tom never makes his bed.	Tom reder aldrig sin seng.
Come and warm yourself by the fire.	Kom og varm dig ved ilden.
I like to keep my clothes for as long as possible.	Jeg kan godt lide at beholde mit tøj så længe som muligt.
I didn't drink that milk.	Jeg har ikke drukket den mælk.
I don't care what you think.	Jeg er ligeglad med hvad du synes.
He's got a headache.	Han har hovedpine.
Who is playing the piano in the living room?	Hvem er det der spiller på klaveret i stuen?
I was born in 1972.	Jeg blev født i 1972.
This book is too difficult for me to understand.	Denne bog er for vanskelig for mig at forstå.
The school is closed.	Skolen er lukket.
I teach French.	Jeg underviser i fransk.
Where's your school?	Hvor ligger jeres skole?
Shut up and let me think.	Hold kæft og lade mig tænke.
I have to go even if it rains cats and dogs.	Jeg er nødt til at gå, selv om det styrtregner.
Tom said that he thought that Mary's punishment was appropriate.	Tom sagde at han syntes at Marys straf var passende.
Tom hates it.	Tom hader det.
Tom misses his daughter.	Tom savner sin datter.
What a beautiful sunrise!	Sikken en smuk solopgang!
The dog wagged its tail.	Hunden logrede med halen.
The next morning, the snowman had completely melted.	Næste morgen var snemanden helt smeltet.
I wish he were on our team.	Gid han var på vores hold!
Don't you know what's happening?	Ved du ikke hvad der sker?
Do you want some mulled wine?	Vil du have noget gløgg?
Tom went to the store to buy some apples.	Tom gik hen til butikken for at købe nogle æbler.
See you later.	Vi ses.
He bought her a sweater.	Han købte en sweater til hende.
Here you are.	Værsgo.
I promised Tom that I wouldn't cry.	Jeg lovede Tom at jeg ikke ville græde.
This telephone is out of order.	Denne telefon er i stykker.
This country is poor in natural resources.	Dette land er fattig på naturresurser.
It rained heavily, so the playground is muddy.	Det regnede kraftigt, så legepladsen er mudret.
Where were you?	Hvor var du?
I need more coffee.	Jeg har brug for mere kaffe.
